C_SKU_Nbr,C_Short_Week,C_d_Store,C_d_Store_Nbr,C_sku1,C_Sales_Units,C_Str_OH_units_wkly,C_sales
1005559955,FW 202038,1502-ARVADA,1502,"1005559955-3/8"" X 8"" X 16' LP EMB MAHOG SIDNG",10.0,155.0,219.8
1005559956,FW 202035,1544-N FT COLLINS,1544,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",4.0,214.0,87.92
1005559956,FW 202032,1551-NORTH AURORA,1551,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",,250.0,
1005559955,FW 202040,1546-BOULDER,1546,"1005559955-3/8"" X 8"" X 16' LP EMB MAHOG SIDNG",,158.0,
1005559956,FW 202039,1550-LAKEWOOD-NORTH,1550,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",,251.0,
1005559956,FW 202035,1507-DENVER SW,1507,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",2.0,182.0,43.96
1005559955,FW 202039,1518-SW COLORADO SPRINGS,1518,"1005559955-3/8"" X 8"" X 16' LP EMB MAHOG SIDNG",,264.0,
1005559955,FW 202033,"1547-BRIGHTON,CO",1547,"1005559955-3/8"" X 8"" X 16' LP EMB MAHOG SIDNG",,209.0,
1005559956,FW 202041,1519-LITTLETON,1519,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",,260.0,
1005559956,FW 202036,1524-BROOMFIELD,1524,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",,262.0,
1005559956,FW 202037,1546-BOULDER,1546,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",,250.0,
1005559956,FW 202033,1552-FIRESTONE,1552,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",,264.0,
1005559955,FW 202024,1503-THORNTON,1503,"1005559955-3/8"" X 8"" X 16' LP EMB MAHOG SIDNG",7.0,257.0,153.86
1005559955,FW 202030,1520-BEAR VALLEY,1520,"1005559955-3/8"" X 8"" X 16' LP EMB MAHOG SIDNG",,264.0,
1005559955,FW 202028,1524-BROOMFIELD,1524,"1005559955-3/8"" X 8"" X 16' LP EMB MAHOG SIDNG",7.0,236.0,153.86
1005559956,FW 202029,1551-NORTH AURORA,1551,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",5.0,254.0,109.9
1005559955,FW 202049,"1517-WESTMINSTER, CO",1517,"1005559955-3/8"" X 8"" X 16' LP EMB MAHOG SIDNG",,282.0,
1005559956,FW 202038,"1514-LAKEWOOD, CO",1514,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",,240.0,
1005559955,FW 202045,1528-SADDLEROCK,1528,"1005559955-3/8"" X 8"" X 16' LP EMB MAHOG SIDNG",,209.0,
1005559955,FW 202041,1546-BOULDER,1546,"1005559955-3/8"" X 8"" X 16' LP EMB MAHOG SIDNG",1.0,157.0,21.98
1005559956,FW 202043,1549-JEFFERSON COUNTY,1549,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",,159.0,
1005559955,FW 202037,1551-NORTH AURORA,1551,"1005559955-3/8"" X 8"" X 16' LP EMB MAHOG SIDNG",,264.0,
1005559956,FW 202028,1512-FT COLLINS,1512,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",,211.0,
1005559955,FW 202045,1515-GREELEY,1515,"1005559955-3/8"" X 8"" X 16' LP EMB MAHOG SIDNG",,79.0,
1005559955,FW 202029,1519-LITTLETON,1519,"1005559955-3/8"" X 8"" X 16' LP EMB MAHOG SIDNG",1.0,261.0,21.98
