C_Class_Name,C_Model_Number,C_SKU_Name,C_SKU_Nbr,C_Sub_Class_2,C_Sub_Class_Nbr,C_dept_2,C_Sales_Units,C_Str_OH_units_wkly
FENCING,153672,PRO SERIES 8-1/2 FT. X 5 IN. X 5 IN.,1000345322,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,6.0,
PRESSURE TREATED/DECKING,147844,5 IN. X 5 IN. VINYL COPPER HIGH POIN,1001861269,021-020-004-COMPOSITE DECK/RAIL,021-020-004,21-LUMBER,8.0,
FENCING,414077,5 IN. X 5 IN. X 5 FT. WHITE COMPOSIT,1005659460,021-008-016-OTHER FENCE,021-008-016,21-LUMBER,3.0,
LANDSCAPE,UNKNOWN,8 STEP PT STAIR STRINGER,1000340415,021-007-006-SPECIALTY,021-007-006,21-LUMBER,22215.0,3.0
DIMENSIONAL LUMBER,UNKNOWN,4X4-12FT #2 SYP,812958,021-003-004-TIMBERS,021-003-004,21-LUMBER,18852.0,475.0
DIMENSIONAL LUMBER,UNKNOWN,OFFICIAL ACA SIZED BLACK CORN-FILLED,1000339149,021-003-063-S/O KITS & HARDWARE,021-003-063,21-LUMBER,,0.0
BOARDS,UNKNOWN,"3/4"" 4'X8' 6""OC MELAMIN SLATWALL",377552,021-005-019-MELAMINE,021-005-019,21-LUMBER,196.0,24.0
DIMENSIONAL LUMBER,156805,WOOD TOOLBOX KIT,1000338855,021-003-063-S/O KITS & HARDWARE,021-003-063,21-LUMBER,3.0,0.0
FENCING,UNKNOWN,"3/4""X3-1/2""X4' PT PINE FR GOTH PCKT",437246,021-008-004-PRESSURE TREATED PICKETS,021-008-004,21-LUMBER,1939499.0,77157.0
DIMENSIONAL LUMBER,UNKNOWN,2X4-10FT #2 KD SYP,689157,021-003-002-NARROW,021-003-002,21-LUMBER,48510.0,1709.0
DIMENSIONAL LUMBER,524643,2X12-12FT #1 KD SYP,524643,021-003-003-WIDE,021-003-003,21-LUMBER,75.0,0.0
FENCING,144205,DOVER WHITE VINYL GATE KIT,1000296185,021-008-015-VINYL ACCESSORIES,021-008-015,21-LUMBER,2402.0,2.0
DIMENSIONAL LUMBER,524865,2X12-16FT #1 KD SYP,524865,021-003-003-WIDE,021-003-003,21-LUMBER,30.0,0.0
FENCING,144761,PRO SERIES 8-1/2 FT. X 5 IN. X 5 IN.,1000342056,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,18.0,0.0
LANDSCAPE,UNKNOWN,"2X3-24"" SINGLE STAKE",466686,021-007-004-STAKES,021-007-004,21-LUMBER,858.0,825.0
PRESSURE TREATED/DECKING,UNKNOWN,2X6-12FT PT FIRE RETARDANT,1001464119,021-020-008-FIRE RETARDANT TREATED,021-020-008,21-LUMBER,1068.0,52.0
PRESSURE TREATED/DECKING,UNKNOWN,5/4X6-16FT STD PT GC WEATHERSHIELD,1001754829,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,4241930.720000001,81898.0
PLYWOOD,UNKNOWN,11/32 2X2 BCX PLYWOOD,300845,021-001-006-PROJECT PANELS,021-001-006,21-LUMBER,3666.0,
LAWN ACCESSORIES,UNKNOWN,12 X 42 CEDAR RECTANGLE TRELLIS,1001682782,028-023-005-TRELLIS/SHEP HOOKS/ARBOR,028-023-005,28-SEASONAL/GARDEN,12913.0,1258.0
FENCING,UNKNOWN,1X4-4FT PT PINE DOG EAR PICKET,112942,021-008-004-PRESSURE TREATED PICKETS,021-008-004,21-LUMBER,213219.0,4837.0
INSULATION,126760,16 IN. X 4 FT. RADIANT BARRIER (50-B,1000205201,022-004-006-RADIANT BARRIER,022-004-006,22-BUILDING MATERIALS,4126.0,0.0
LANDSCAPE,72001,32-1/4 IN. BRONZE ALUMINUM ARCH BALU,1000339941,021-007-006-SPECIALTY,021-007-006,21-LUMBER,2448.0,0.0
FENCING,UNKNOWN,10' WESTERN RED CEDAR SPLIT RAIL,254894,021-008-012-POST/RAIL,021-008-012,21-LUMBER,30104.0,
FENCING,UNKNOWN,"DIS 4""X4""X8' VERANDA WHT VNYL SQ PST",1001651852,021-008-018-EVENTS,021-008-018,21-LUMBER,1.0,0.0
PRESSURE TREATED/DECKING,UNKNOWN,2X12-12FT #2 PRIME OR BTR PT CDR-TN,1001696769,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,6832.0,0.0
FENCING,UNKNOWN,"5""X5""X7' WHITE VINYL END POST",1000342231,021-008-015-VINYL ACCESSORIES,021-008-015,21-LUMBER,1434.0,0.0
FENCING,153150,4 FT. X 8 FT. VINYL GLENDALE SCALLOP,1000344644,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,2839.0,0.0
