C_SKU_Nbr,C_d_Market_Nbr,C_Sales_Units,C_sales
433183,0310,2299.0,4460.190000000003
1001412558,0591,28.0,232.54999999999998
283346,0513,34.0,559.7499999999999
1002922383,0304,338.0,9362.589999999993
565963,0314,37.0,694.31
1000043094,0112,692.0,8988.109999999977
262313,0147,423.0,12569.320000000003
430297,0017,870.0,21688.519999999964
1000013847,0600,,
354221,0145,421.0,3264.579999999989
1004183704,0019,5677.0,10909.749999999973
917074,0536,13.0,38.74
295639,0416,2.0,9.94
1001754124,0570,830.0,27404.019999999917
430269,0595,174.0,2528.840000000001
1001687574,0086,3.0,40.410000000000004
1004183704,0300,555.0,1092.390000000001
1001283617,0097,73.0,576.9500000000003
300969,0042,3292.0,63241.44999999855
298741,0576,123.0,342.8600000000001
738111,0023,854.0,40854.20000000006
1001687568,0191,61.0,1096.7799999999997
743748,0145,330.0,4274.029999999987
149671,0602,250.0,4564.309999999992
300853,0145,293.0,3970.3299999999963
300896,0532,173.0,2267.0199999999995
354221,0226,1272.0,9954.489999999993
1004184089,0106,903.0,3457.8100000000086
1001215929,0113,970.0,26371.2299999997
300888,0196,711.0,5377.789999999985
925778,0036,7309.0,55502.459999999075
315110,0249,830.0,33284.09000000001
1002341976,0596,387.0,7944.179999999994
487404,0533,257.0,711.1400000000001
300896,0042,4529.0,66662.64000000052
958719,0042,3042.0,41726.850000000806
1002855788,0577,162.0,526.26
1005447571,0017,484.0,6072.370000000024
460219,0414,196.0,696.2299999999991
905178,0577,231.0,1929.2599999999998
536763,0202,4.0,38.08000000000001
1001349041,0112,,
1001349041,0602,,
1000008110,0304,101.0,4058.7200000000007
369094,0113,1379.0,18982.28000000008
256276,0202,1117.0,13353.940000000011
1001676868,0272,454.0,14074.790000000026
1001101224,0581,98.0,983.0399999999998
1001818260,0147,438.0,4240.020000000001
298741,0599,155.0,383.1699999999998
1001749849,0018,1746.0,3911.7099999999964
1000004809,0421,372.0,11293.810000000003
301587,0310,127.0,707.2299999999998
1002185326,0077,1699.0,2564.6800000000003
1002275158,0419,33.0,175.60999999999996
482002,0129,157.0,2494.500000000002
155713,0518,174.0,1717.4099999999987
155713,0063,2541.0,23696.020000000102
1004865236,0314,0.0,0.0
1002275150,0418,204.0,798.3599999999998
1001412558,0594,464.0,3921.9000000000033
440539,0532,118.0,1180.61
1002806939,0196,425.0,6478.909999999949
300888,0364,346.0,2610.92
1000043070,0300,37.0,3336.44
142085,0533,315.0,193.76000000000002
1001283615,0111,66.0,436.91999999999996
619375,0467,168.0,698.6800000000002
1000045651,0595,,
300918,0077,608.0,14224.589999999926
1002185331,0086,3235.0,9950.60999999995
1000247126,0212,12.0,262.68
1004183704,0310,680.0,1337.2800000000007
1005129729,0503,166.0,5229.960000000001
430269,0579,311.0,4833.740000000003
926009,0357,44.0,470.4500000000002
1001676868,0600,83.0,2645.2000000000003
1005447571,0249,764.0,9905.879999999966
1000000560,0531,24.0,1707.9300000000003
465000,0196,1910.0,22767.49999999977
1005011955,0421,49.0,867.17
460219,0077,1371.0,5401.190000000001
460219,0602,60.0,213.4199999999999
1000012648,0591,98.0,1358.8400000000001
1001349041,0310,,
256276,0570,23391.0,270456.81999999966
1005583935,0129,28.0,223.44
460788,0186,307.0,152.35
1002275158,0028,700.0,3778.430000000005
1002185329,0050,3449.0,7762.710000000017
1000993472,0106,443.0,14394.810000000001
430400,0578,8904.0,8850.950000000006
1001749849,0536,895.0,1893.1999999999998
1002185326,0513,310.0,552.2500000000001
1003620417,0186,827.0,4032.4799999999946
1001283607,0226,370.0,706.7699999999999
1005447571,0414,28.0,498.85999999999996
1001311054,0028,4837.0,4724.200000000014
1001311054,0599,312.0,302.5200000000001
726653,0196,984.0,12848.769999999959
256472,0342,33.0,362.3400000000001
1000049026,0034,,
1001349041,0570,,
300829,0536,97.0,1864.79
1002341934,0531,245.0,3436.890000000003
1002275150,0102,1154.0,4707.169999999996
482167,0581,73.0,581.7600000000001
1002341955,0314,1621.0,26065.759999999867
560588,0310,36.0,3901.7999999999975
1005011955,0197,158.0,2807.890000000001
778506,0349,92.0,1432.8600000000006
1003933835,0017,37.0,1398.4
1003131893,0009,24.0,320.13000000000005
300918,0503,224.0,5041.460000000001
1002185331,0023,952.0,3016.07
1001753944,0531,2060.0,8774.020000000017
1002185336,0147,1031.0,4280.539999999996
1001860744,0581,58.0,519.0400000000001
567776,0578,12.0,235.64999999999998
1002185331,0593,435.0,1337.8599999999992
129093,0421,6410.0,43266.96999999995
1002302294,0579,84.0,680.9200000000003
462296,0421,4.0,2.44
295639,0066,790.0,3874.1799999999967
1002625925,0602,226.0,220.44
1001754072,0602,433.0,8743.259999999993
1001754072,0605,514.0,10227.700000000003
1005583946,0129,17.0,169.65999999999997
1001660536,0036,3258.0,19196.63000000011
430792,0304,20711.0,19003.649999999994
433183,0600,749.0,1455.2699999999998
560588,0594,2.0,199.98
103078,0249,1012.0,17959.579999999838
1000049026,0097,,
555450,0335,248.0,2243.8299999999995
555450,0268,30.0,224.4
430269,0416,119.0,1737.8000000000006
300950,0268,345.0,3328.339999999996
1002185336,0578,43.0,165.93
169757,0570,125221.0,208144.59000000035
149521,0578,249.0,2368.7099999999996
1005011955,0009,1073.0,18843.300000000014
1005129729,0570,351.0,11633.980000000007
430297,0342,92.0,2335.17
440572,0335,336.0,9767.949999999992
1002275150,0596,608.0,2370.28
925877,0249,39.0,414.33000000000004
1004183704,0593,249.0,481.96000000000015
1001308546,0600,86.0,1507.4900000000002
1001101228,0249,1608.0,23439.489999999998
112345,0186,270.0,8012.869999999984
256472,0594,62.0,680.7600000000001
1005370858,0034,69.0,3603.3899999999994
914584,0513,2311.0,5400.150000000005
1004183704,0129,10657.0,20939.299999999585
249148,0595,129.0,9696.939999999997
1001754110,0531,264.0,5771.460000000001
460219,0186,395.0,2702.9000000000083
619375,0533,155.0,674.8300000000019
300829,0463,146.0,2000.7599999999984
430297,0604,41.0,999.3100000000002
1002185329,0604,208.0,484.51000000000016
1002185331,0077,1098.0,3279.320000000003
430792,0594,9541.0,8641.720000000001
435997,0111,138.0,956.2700000000003
687642,0028,50648.0,113761.15000000002
300829,0026,2510.0,27215.62000000017
1002855788,0580,217.0,703.0100000000001
1002302295,0595,59.0,863.8600000000001
1002275158,0026,2638.0,14426.739999999952
1001754002,0570,2236.0,51997.14999999998
1000043070,0026,312.0,30016.559999999965
1001729059,0416,12.0,110.68000000000004
884831,0531,7038.0,20013.360000000004
958751,0463,105.0,2637.2299999999964
323876,0127,36.0,1059.0800000000004
1000013847,0143,62.0,1736.21
300918,0268,133.0,3167.2800000000025
1001687573,0272,13.0,175.11
897671,0304,2081.0,102870.22999999994
1003620667,0533,42.0,207.65999999999997
565621,0594,44.0,256.5
1005011955,0018,133.0,2367.609999999999
905178,0300,1541.0,13663.54
778506,0596,192.0,2757.4100000000017
461448,0570,4.0,1.32
1002185331,0503,369.0,1176.0500000000009
461487,0342,51.0,252.22
1004183704,0416,94.0,185.71999999999997
1000032455,0063,254.0,5626.850000000001
279388,0414,52.0,599.7700000000004
1002275152,0518,31.0,181.22
560588,0106,197.0,21653.32999999997
1005143506,0531,1.0,107.99000000000001
1001215929,0532,21.0,682.8700000000001
315110,0599,157.0,6264.609999999996
565963,0581,13.0,246.60999999999999
1002855788,0604,236.0,761.6199999999999
196088,0588,216.0,4579.070000000001
1001687568,0065,115.0,2044.9300000000007
323876,0416,8.0,239.71999999999994
556262,0036,31781.0,30687.63000000001
440928,0191,1110.0,28573.29000000019
295639,0226,62.0,299.1300000000001
315110,0113,579.0,23173.309999999972
1002625925,0191,1032.0,995.6700000000009
300896,0503,456.0,6800.339999999985
1004183704,0579,160.0,313.13
1000043070,0599,24.0,2244.7300000000005
1001632258,0127,90.0,2594.940000000001
1004718833,0026,0.0,-1.4210854715202004e-14
103064,0026,1536.0,17350.569999999712
567776,0581,17.0,339.49
1002275152,0591,133.0,736.8799999999999
897671,0531,409.0,20107.300000000014
652059,0197,523.0,41833.41000000014
226587,0147,405.0,5960.659999999999
129430,0421,7992.0,30533.910000000003
461443,0186,437.0,4756.8299999999945
914335,0467,30.0,88.2
300918,0145,390.0,8946.699999999968
283346,0300,171.0,2823.3500000000017
1004299579,0089,57.0,1662.2399999999998
555450,0392,141.0,1511.64
1004718897,0310,36.0,1984.64
1001687577,0191,5.0,17.65
1002341955,0300,788.0,12886.379999999994
1000032455,0065,667.0,20160.81
156797,0594,61.0,452.5099999999998
1002341976,0577,395.0,8188.9299999999985
1001754077,0503,238.0,5623.570000000001
834001,0340,163.0,3198.850000000008
338555,0129,2291.0,85730.86000000012
1001753869,0570,3844.0,51348.18999999999
315110,0416,45.0,1766.0
300950,0111,566.0,5450.059999999983
149521,0596,247.0,2373.599999999999
1002341955,0596,528.0,8672.809999999992
1002302294,0600,58.0,512.09
487404,0005,16774.0,46881.220000000096
300829,0249,1470.0,16235.810000000029
1002341934,0310,1265.0,16699.159999999996
1003131893,0570,18.0,247.45000000000005
559087,0300,220.0,13681.439999999999
1002275158,0268,325.0,1933.09
567776,0127,57.0,1106.3300000000002
1005011955,0050,293.0,5132.270000000001
536763,0014,6504.0,122516.97000000009
1005012003,0129,344.0,12220.54000000005
1002339002,0421,305.0,5844.970000000001
1000013893,0014,,
300969,0392,989.0,17049.529999999904
1000012648,0050,273.0,3746.6000000000013
1001749849,0106,6681.0,15206.539999999948
1001753906,0531,2455.0,23459.43999999995
1001724066,0300,24.0,131.46
440572,0327,595.0,17989.729999999974
254576,0300,161.0,4506.83
619375,0034,13682.0,58123.029999998755
219743,0392,450.0,7023.600000000031
149671,0086,2623.0,43436.950000000215
716672,0077,490.0,14522.609999999964
160954,0196,69129.0,86577.59999999992
433183,0602,791.0,1524.0100000000002
433183,0580,445.0,882.5100000000001
1001101224,0113,1350.0,13325.219999999976
1001730795,0191,522.0,18270.330000000038
1000043094,0577,47.0,593.37
461448,0471,2.0,0.6
726653,0314,187.0,2370.940000000002
1002275158,0018,656.0,3819.2700000000023
300853,0036,2125.0,26137.959999999628
430792,0097,58343.0,54469.39000000008
433183,0034,14050.0,27936.779999999635
1002806938,0196,106.0,4238.650000000006
1005710701,0102,1.0,99.98
1001412558,0005,4545.0,37986.68000000032
897671,0421,367.0,19558.82
300969,0023,1315.0,23078.770000000004
1001283615,0009,128.0,770.9099999999985
487404,0042,23095.0,64780.12999999996
256276,0342,7308.0,82447.71
1002275150,0503,190.0,717.7600000000002
260691,0602,420.0,12136.370000000003
1005584708,0129,26.0,467.4799999999999
300810,0009,764.0,4080.310000000026
1002185329,0591,210.0,481.84999999999997
300896,0392,1200.0,16009.990000000189
257974,0503,543.0,9121.300000000001
1001676868,0065,258.0,8267.750000000002
1002341934,0591,387.0,5379.970000000001
445789,0373,920.0,6595.269999999993
1000000560,0304,281.0,20408.319999999985
1001802072,0421,2634.0,25691.539999999994
958719,0364,64.0,875.8000000000002
565963,0576,95.0,1891.4500000000007
1002625925,0065,2627.0,2538.850000000003
731898,0147,180.0,3811.2499999999995
300810,0373,240.0,1239.76
1001724066,0513,8.0,46.359999999999985
1001687550,0065,7.0,404.39
1002341955,0604,436.0,7103.540000000001
1000004731,0421,2318.0,29546.809999999972
1001676869,0595,6.0,208.24
1002854744,0582,134.0,463.05999999999995
1001860786,0593,91.0,1347.69
156797,0471,57.0,473.74000000000007
988017,0364,106.0,1358.4400000000003
1001687557,0066,1.0,6.98
1001860786,0609,0.0,0.0
300896,0268,231.0,3945.4300000000067
1005143506,0042,7.0,815.87
351328,0471,39.0,1163.24
463998,0196,3434.0,27840.69000000022
1003131893,0086,90.0,1238.1
563923,0129,8.0,17.009999999999998
1001753990,0602,1126.0,12547.869999999992
987997,0364,761.0,8899.780000000012
1005011955,0418,-2.0,-35.54
1000012648,0503,75.0,1048.5000000000002
1001860786,0143,323.0,4546.389999999998
430792,0416,3411.0,3083.1300000000024
824670,0419,820.0,2205.82
1001753914,0503,588.0,8249.780000000004
1000032541,0421,,
256472,0577,18.0,195.44000000000003
1001860786,0577,20.0,299.6
1002185331,0335,886.0,2886.420000000001
385069,0086,1101.0,7506.3200000000115
1001787118,0357,1296.0,26436.48999999999
445789,0340,442.0,3139.6300000000015
1000012648,0595,142.0,1943.2400000000018
440626,0310,190.0,563.0899999999999
300810,0340,245.0,1487.1799999999998
1001101224,0212,193.0,1899.7
1000049026,0106,,
300810,0186,257.0,2448.619999999992
462296,0588,12.0,7.68
1001101224,0540,528.0,5263.799999999998
1001687570,0106,156.0,2802.4900000000007
1001632258,0582,4.0,121.36
1002185336,0604,90.0,376.82000000000016
1002275171,0086,3796.0,13152.989999999802
1001676865,0093,1549.0,47390.3699999999
461487,0186,528.0,6775.210000000027
445789,0414,59.0,483.7000000000003
1001215929,0467,53.0,1459.3600000000008
777683,0364,239.0,2199.7100000000014
925778,0145,641.0,2105.939999999996
1000040067,0057,393.0,3496.9999999999877
1003131893,0593,69.0,942.24
1002275171,0419,119.0,397.0299999999997
103095,0097,491.0,11005.579999999949
1005447571,0063,720.0,12870.299999999994
103078,0042,5714.0,99760.99000000219
1001754119,0605,92.0,3737.7999999999997
300950,0340,255.0,2480.0899999999997
323876,0143,118.0,3457.8100000000013
440572,0026,1188.0,35383.56999999997
1002275150,0272,2774.0,11295.609999999988
1005584460,0129,110.0,547.8000000000005
300969,0518,128.0,2416.220000000002
1000004800,0421,897.0,18715.30999999999
1001753960,0531,2137.0,12665.279999999992
378739,0577,,
1004183704,0513,137.0,270.2600000000001
430400,0268,5526.0,5688.099999999999
1002148314,0577,481.0,2639.7900000000004
1002185326,0533,256.0,491.80000000000007
1002302295,0600,57.0,873.26
378739,0604,65.0,1319.6200000000001
1001101224,0416,118.0,1162.7800000000004
1001311054,0481,239.0,223.64
1002341976,0593,448.0,9111.139999999992
1002185326,0540,405.0,685.3000000000003
1004183704,0541,112.0,221.36000000000004
1000032541,0591,,
1004184121,0034,93.0,3407.940000000001
778506,0540,116.0,1773.6500000000003
738111,0026,257.0,12461.279999999999
103064,0518,70.0,785.0799999999995
914584,0533,1363.0,3596.349999999999
1001753743,0605,6506.0,40365.27999999995
1002185331,0112,2482.0,8497.839999999986
1001754831,0531,3892.0,29497.25999999999
1001308546,0268,118.0,2039.74
1004184121,0595,29.0,1055.06
219743,0017,249.0,3773.319999999984
1002302295,0143,530.0,6911.2699999999995
300918,0364,215.0,4922.250000000002
1002854732,0314,465.0,2507.18
1002185336,0579,71.0,293.95000000000005
1002302295,0147,160.0,2151.4900000000002
1001412558,0143,2696.0,22320.229999999934
445789,0113,2491.0,17550.199999999706
460219,0036,1626.0,5819.100000000006
129430,0364,4196.0,20311.920000000016
1001283615,0023,155.0,1007.7700000000003
1001860786,0595,48.0,705.5500000000002
1000013847,0595,20.0,1362.8
1002185329,0596,316.0,704.8800000000002
300918,0017,511.0,10999.489999999994
1005519452,0272,37.0,707.5200000000002
256472,0604,38.0,415.06000000000006
1004718897,0042,219.0,11065.41
1001754013,0576,982.0,13617.709999999981
385069,0093,1099.0,7307.990000000005
286503,0066,422.0,15237.969999999978
1004718703,0014,6.0,234.9
1001283617,0357,47.0,286.55000000000024
782394,0467,204.0,5735.149999999996
1000012648,0186,510.0,7068.689999999989
1001754091,0503,126.0,3796.55
778459,0106,355.0,8473.750000000002
988020,0112,,
259270,0342,331.0,5718.250000000005
283346,0111,264.0,4000.3199999999997
1005011955,0304,332.0,5869.75
103064,0532,105.0,1199.8799999999992
1002185331,0605,559.0,1876.5800000000006
834001,0196,82.0,1652.0400000000006
1002275152,0540,116.0,627.3299999999998
1001412558,0196,266.0,2227.5600000000018
1005519452,0034,107.0,2140.049999999999
456583,0304,91.0,2331.2700000000013
460219,0570,222.0,786.0899999999997
1001787260,0591,867.0,11831.289999999994
156797,0028,653.0,5040.210000000007
1005427985,0212,98.0,573.8799999999999
1002275171,0173,628.0,2055.2200000000003
1002185329,0532,198.0,511.24
925877,0335,38.0,410.02000000000004
1001787264,0588,245.0,6182.74
1000012648,0570,425.0,5828.289999999993
300950,0034,9938.0,95137.7899999987
1000013847,0086,,
1002302294,0577,105.0,792.98
1003620667,0463,213.0,965.1800000000001
1001749849,0602,118.0,300.74999999999983
1002185326,0026,6206.0,10257.449999999972
1002806943,0042,1987.0,36489.82000000101
