C_Merch_Vendor_Nbr,C_SKU_Nbr,C_d_Store,C_d_Store_Nbr,C_sku1,C_Sales_Units,C_sales
769444,1002275150,6578-HUNTSVILLE,6578,1002275150-2X4-4FT PREM SYP GC PT WSHLD,536.0,1869.0
769444,1002275150,6363-PALM COAST,6363,1002275150-2X4-4FT PREM SYP GC PT WSHLD,348.0,1273.83
769444,1002275150,6579-TERRELL,6579,1002275150-2X4-4FT PREM SYP GC PT WSHLD,192.0,688.3500000000003
769444,1002275150,6951-SUN CITY,6951,1002275150-2X4-4FT PREM SYP GC PT WSHLD,284.0,1093.2899999999995
68662,1002275150,1248-YONKERS,1248,1002275150-2X4-4FT PREM SYP GC PT WSHLD,-7.0,-30.19
769444,1002275150,3804-MAPLE HEIGHTS,3804,1002275150-2X4-4FT PREM SYP GC PT WSHLD,95.0,373.25
769444,1002275150,3812-BEECHMONT,3812,1002275150-2X4-4FT PREM SYP GC PT WSHLD,742.0,2998.459999999999
769444,1002275150,4645-HARRISONBURG,4645,1002275150-2X4-4FT PREM SYP GC PT WSHLD,171.0,589.7099999999999
769444,1002275150,"2747-MIDLAND,MI",2747,1002275150-2X4-4FT PREM SYP GC PT WSHLD,149.0,639.6200000000001
21376,1002275150,4103-BENSALEM,4103,1002275150-2X4-4FT PREM SYP GC PT WSHLD,383.0,1534.2300000000012
21376,1002275150,"8413-JASPER, GA",8413,1002275150-2X4-4FT PREM SYP GC PT WSHLD,80.0,291.69
769444,1002275150,1977-PERU,1977,1002275150-2X4-4FT PREM SYP GC PT WSHLD,249.0,972.4499999999998
21376,1002275150,1777-KENNESAW NORTH,1777,1002275150-2X4-4FT PREM SYP GC PT WSHLD,-3.0,-12.809999999999999
21376,1002275150,0918-MILLTOWN,0918,1002275150-2X4-4FT PREM SYP GC PT WSHLD,13.0,42.18000000000001
769444,1002275150,0170-EAST SAVANNAH,0170,1002275150-2X4-4FT PREM SYP GC PT WSHLD,31.0,118.69999999999999
21376,1002275150,0863-DAPHNE,0863,1002275150-2X4-4FT PREM SYP GC PT WSHLD,302.0,1214.4499999999998
769444,1002275150,3828-EAST COLUMBUS,3828,1002275150-2X4-4FT PREM SYP GC PT WSHLD,277.0,1065.0600000000002
769444,1002275150,1921-GENEVA,1921,1002275150-2X4-4FT PREM SYP GC PT WSHLD,361.0,1384.9399999999996
769444,1002275150,1856-FLOWERY BRANCH,1856,1002275150-2X4-4FT PREM SYP GC PT WSHLD,-2.0,-5.76
68662,1002275150,1261-NANUET,1261,1002275150-2X4-4FT PREM SYP GC PT WSHLD,320.0,1295.0900000000001
769444,1002275150,2676-LEOMINSTER,2676,1002275150-2X4-4FT PREM SYP GC PT WSHLD,949.0,3640.9000000000037
769444,1002275150,4929-WISCONSIN DELL,4929,1002275150-2X4-4FT PREM SYP GC PT WSHLD,6.0,23.28
21376,1002275150,0808-DOTHAN,0808,1002275150-2X4-4FT PREM SYP GC PT WSHLD,129.0,479.50999999999993
769444,1002275150,0565-PASADENA,0565,1002275150-2X4-4FT PREM SYP GC PT WSHLD,795.0,3149.0999999999995
769444,1002275150,0248-LAKELAND,0248,1002275150-2X4-4FT PREM SYP GC PT WSHLD,610.0,2122.600000000001
769444,1002275150,2405-BIDDEFORD,2405,1002275150-2X4-4FT PREM SYP GC PT WSHLD,602.0,2416.0099999999993
769444,1002275150,0206-WEST DADE,0206,1002275150-2X4-4FT PREM SYP GC PT WSHLD,402.0,1402.7400000000005
769444,1002275150,"8456-MT PLEASANT,NY",8456,1002275150-2X4-4FT PREM SYP GC PT WSHLD,-3.0,-11.53
769444,1002275150,6588-WICHITA FALLS,6588,1002275150-2X4-4FT PREM SYP GC PT WSHLD,243.0,906.4899999999999
21376,1002275150,0951-MANAHAWKIN,0951,1002275150-2X4-4FT PREM SYP GC PT WSHLD,,
769444,1002275150,"6554-GREENVILLE,TX",6554,1002275150-2X4-4FT PREM SYP GC PT WSHLD,196.0,711.9399999999997
21376,1002275150,4106-PLYMOUTH TOWNSHIP,4106,1002275150-2X4-4FT PREM SYP GC PT WSHLD,334.0,1344.6799999999996
769444,1002275150,0270-GAINESVILLE,0270,1002275150-2X4-4FT PREM SYP GC PT WSHLD,134.0,528.68
769444,1002275150,0528-MCKINNEY,0528,1002275150-2X4-4FT PREM SYP GC PT WSHLD,552.0,2143.1699999999996
68662,1002275150,1250-NEWBURGH,1250,1002275150-2X4-4FT PREM SYP GC PT WSHLD,101.0,397.84999999999997
21376,1002275150,2905-HATTIESBURG,2905,1002275150-2X4-4FT PREM SYP GC PT WSHLD,227.0,849.5200000000004
769444,1002275150,0527-N PLANO,0527,1002275150-2X4-4FT PREM SYP GC PT WSHLD,272.0,982.04
769444,1002275150,1853-LEAGUE CITY,1853,1002275150-2X4-4FT PREM SYP GC PT WSHLD,675.0,2549.459999999998
769444,1002275150,3633-HIGH POINT,3633,1002275150-2X4-4FT PREM SYP GC PT WSHLD,540.0,2016.4999999999998
769444,1002275150,6954-GROVE CITY,6954,1002275150-2X4-4FT PREM SYP GC PT WSHLD,455.0,1781.58
769444,1002275150,3817-STRONGSVILLE,3817,1002275150-2X4-4FT PREM SYP GC PT WSHLD,199.0,881.7700000000004
769444,1002275150,"3864-BOWLING GREEN, OH",3864,1002275150-2X4-4FT PREM SYP GC PT WSHLD,127.0,503.8300000000002
769444,1002275150,0232-SOUTHLAND,0232,1002275150-2X4-4FT PREM SYP GC PT WSHLD,88.0,344.16
769444,1002275150,3408-CLAREMONT,3408,1002275150-2X4-4FT PREM SYP GC PT WSHLD,276.0,1002.2299999999997
68662,1002275150,6168-BATAVIA,6168,1002275150-2X4-4FT PREM SYP GC PT WSHLD,210.0,809.8399999999997
769444,1002275150,2761-E WYOMING,2761,1002275150-2X4-4FT PREM SYP GC PT WSHLD,29.0,88.62
769444,1002275150,"3821-FOREST PARK, OH",3821,1002275150-2X4-4FT PREM SYP GC PT WSHLD,585.0,2312.889999999998
769444,1002275150,6365-ATLANTIC AND GIRVIN,6365,1002275150-2X4-4FT PREM SYP GC PT WSHLD,431.0,1698.409999999999
