C_Class_Nbr,C_Short_Week,C_Sales_Units,C_Str_OH_units_dly,C_sales
022-009,FW 201830,4253.0,,28496.86
021-004,FW 202001,4066.0,,26309.600000000002
021-015,FW 202018,109.0,,7817.74
028-028,FW 202023,432.0,,24984.460000000083
022-009,FW 202042,60893.0,,305656.81999999896
028-026,FW 202013,33.0,,948.7
021-020,FW 202102,946096.0,7424542.97,11433948.099999692
021-090,FW 202101,0.0,10288.0,0.0
021-007,FW 201902,217728.0,,901229.0599999997
028-023,FW 202042,9975.0,,60448.51000000068
021-018,FW 201751,4.0,,1427.47
021-001,FW 201947,104985.0,,1122344.139999999
021-020,FW 202029,2132766.0,,25445080.900000066
021-004,FW 201913,4830.0,,15514.960000000003
028-023,FW 201826,1706.0,,31521.609999999775
021-002,FW 202001,41.0,,1214.75
021-001,FW 202020,188348.0,,2135844.230000008
021-005,FW 201751,269528.57,,793664.4800000001
021-004,FW 201948,3602.0,,21263.69
021-018,FW 202040,176.0,,10867.440000000002
021-015,FW 201923,86.0,,5904.2699999999995
025-001,FW 201940,,,
022-004,FW 201916,1.0,,225.0
028-028,FW 201849,16.0,,749.98
021-006,FW 201802,1608.0,,9154.929999999997
021-001,FW 202048,186896.0,,2404433.8399999915
021-003,FW 201832,44052.0,,165760.4
021-006,FW 201828,1039.0,,6462.799999999999
021-002,FW 201845,198.0,,7241.720000000001
030-027,FW 202002,,,
021-013,FW 201841,,,
028-023,FW 201828,1842.0,,34416.139999999796
022-004,FW 201844,,,
021-005,FW 202047,263959.58,,932915.6300000002
021-005,FW 201932,282372.30000000005,,839020.96
021-004,FW 202025,7744.0,,38153.91
028-028,FW 201822,43.0,,2398.800000000001
022-012,FW 201923,3779.0,,38094.89999999999
022-009,FW 201930,47509.0,,240918.48000000307
021-003,FW 202045,74329.0,,395682.34999999986
022-009,FW 201823,6214.0,,35586.39000000001
028-028,FW 202002,31.0,,1792.6100000000004
022-012,FW 201850,3602.0,,37958.539999999986
021-008,FW 201838,606245.0,,2101782.139999999
021-008,FW 202039,747259.0,,2926083.4900000007
021-003,FW 202032,75277.0,,319706.07000000007
021-002,FW 201911,971.0,,16465.739999999998
030-027,FW 201903,20.0,,168.67000000000004
022-004,FW 201911,,,
028-028,FW 202050,127.0,,8259.909999999978
025-001,FW 202007,,,
021-018,FW 201749,1.0,,440.0
021-090,FW 202045,4.0,,239.99999999999994
021-004,FW 201831,4506.0,,13140.249999999998
022-012,FW 201913,4205.0,,46514.61000000005
021-017,FW 201907,,,
028-023,FW 201819,2339.0,,42951.41999999984
022-014,FW 201830,,,
027-031,FW 201927,1.0,,0.01
022-009,FW 201922,40504.1,,224071.02000000165
022-009,FW 201751,1470.0,,9039.400000000003
028-028,FW 201839,18.0,,980.4499999999998
027-031,FW 201908,-22.0,,-288.51
021-001,FW 201924,117190.0,,1361545.2600000012
021-001,FW 202036,168430.0,,2200644.660000004
021-002,FW 202033,1882.0,,28779.209999999995
022-014,FW 201802,,,
021-018,FW 201943,,,
021-007,FW 201839,403014.0,,1609604.3799999997
022-010,FW 201835,308.0,,8762.629999999997
022-014,FW 201813,,,
021-090,FW 201840,6.0,,516.8199999999999
021-007,FW 201815,670530.2,,2931580.3799999994
021-003,FW 202003,60848.0,,183915.1299999999
022-010,FW 201931,76.0,,2395.19
021-018,FW 202029,652.0,,61407.53000000001
022-010,FW 202014,53.0,,1230.67
022-009,FW 201950,43245.0,,221282.540000003
021-015,FW 201802,112.0,,6341.730000000001
022-012,FW 202052,4255.0,11654.0,49030.64999999993
021-004,FW 201904,4169.0,,13537.109999999999
022-009,FW 202038,63451.0,,308420.82999999955
027-031,FW 201847,-91.0,,-1363.4800000000002
021-007,FW 202032,530277.0,,2423520.149999996
022-004,FW 201847,0.0,,-195.57
021-020,FW 201813,2229286.0,,19110636.730000027
021-001,FW 202040,164170.0,,2139344.500000006
022-009,FW 201840,9931.0,,59713.029999999984
022-012,FW 201819,5016.0,,51748.28000000004
021-006,FW 201928,1265.0,,6472.720000000002
025-001,FW 201750,11.0,,824.89
021-008,FW 201926,833870.0,,2974501.3000000007
022-010,FW 201834,135.0,,3179.9000000000005
021-006,FW 202019,1123.0,,6247.71
025-003,FW 202102,6.0,,17.700000000000003
022-010,FW 201833,43.0,,1299.08
021-007,FW 201837,424070.3,,1690336.7899999996
021-015,FW 202034,120.0,,8383.759999999998
025-001,FW 201901,4.0,,330.72
021-008,FW 201752,747375.3,,2205768.2500000014
021-002,FW 201930,2280.0,,21004.750000000004
022-010,FW 201901,158.0,,4994.74
021-003,FW 201815,31789.0,,440730.68000000005
022-004,FW 201927,16.0,,16098.18
025-003,FW 202028,4.0,,11.28
022-010,FW 201821,428.0,,9778.48
021-015,FW 201828,133.0,,8513.230000000001
021-018,FW 201826,2.0,,485.84000000000003
022-010,FW 202009,,,
022-004,FW 201926,,,
028-023,FW 202051,7244.0,92223.0,53717.02000000041
022-012,FW 202103,1412.0,15929.0,16003.629999999996
028-028,FW 201817,53.0,,3459.35
022-010,FW 201750,54.0,,1026.7400000000002
028-023,FW 201931,8995.0,,66377.25000000189
028-026,FW 202045,,,
025-003,FW 202012,5.0,,14.1
021-020,FW 201942,1319133.0,,9680728.700000003
021-003,FW 202034,71835.0,,334520.15
021-005,FW 201835,264421.33,,847096.2699999999
021-007,FW 201927,590814.0,,2453964.6599999988
022-010,FW 201912,186.0,,5586.04
022-009,FW 202019,66727.0,,342296.7200000008
022-010,FW 201930,48.0,,1621.5
022-004,FW 201802,3.0,,288.97
025-001,FW 201845,2.0,,165.36
028-026,FW 201933,501.0,,38008.23999999999
021-003,FW 201835,37800.0,,138680.15999999997
022-012,FW 201910,3743.0,,39695.739999999976
022-009,FW 202039,60156.0,,301626.1100000005
028-023,FW 201844,694.0,,13107.119999999912
021-001,FW 201929,121277.0,,1343115.8199999984
021-006,FW 201936,1182.0,,6921.220000000001
021-015,FW 201818,201.0,,12619.420000000002
021-015,FW 201942,107.0,,7487.0599999999995
021-018,FW 201842,4.0,,404.98
021-090,FW 202034,70.0,,5589.460000000001
022-012,FW 201815,4733.0,,49770.010000000024
028-028,FW 202041,245.0,,15791.729999999912
022-012,FW 202030,3018.0,,36353.32999999998
021-015,FW 202036,135.0,,9804.88
028-023,FW 202011,17761.0,,196924.42000000016
022-004,FW 202001,6.0,,6427.5
021-006,FW 202103,1751.0,30106.0,10794.92
027-031,FW 202103,,2.0,
021-017,FW 202103,56.0,1064.0,334.79999999999995
021-008,FW 201945,601064.0,,1778249.7300000007
021-003,FW 201951,58218.0,,171645.89000000013
021-005,FW 202019,422586.24000000005,,1234413.2400000005
021-005,FW 201948,237833.38,,770630.4700000004
028-028,FW 201923,47.0,,3804.300000000001
028-026,FW 202047,,,
022-004,FW 201804,1.0,,20.38
022-012,FW 201828,4701.0,,45725.65000000001
021-020,FW 201930,1916775.0,,14732807.800000018
022-012,FW 201830,4093.0,,44341.759999999995
021-090,FW 201942,0.0,,-124.99
021-015,FW 201833,145.0,,9170.740000000002
021-020,FW 202042,1747584.25,,16648751.69000004
022-009,FW 201947,13911.0,,66167.02999999997
021-090,FW 202036,2.0,,114.99000000000001
021-003,FW 202005,69141.0,,212489.72999999984
021-001,FW 201911,111781.25,,1295636.3099999973
021-006,FW 201941,910.0,,5706.150000000001
028-023,FW 202022,24839.0,,225216.73000000202
021-004,FW 202019,7548.0,,39959.52
021-001,FW 202023,187754.0,,2154892.2000000062
022-012,FW 201820,3974.0,,41956.28999999999
028-028,FW 201843,15.0,,1229.47
021-090,FW 201825,1.0,,66.62
021-003,FW 201923,52728.0,,178859.63999999998
021-005,FW 202027,374764.2,,1194921.9700000011
027-031,FW 202028,,,
021-013,FW 201822,,,
021-008,FW 202018,1463123.0,,5622604.770000002
021-003,FW 201828,35890.0,,195513.96000000002
028-028,FW 201804,7.0,,543.1299999999999
021-007,FW 202013,924196.32,,4284586.519999997
027-031,FW 202014,,,
028-023,FW 201833,1693.0,,32247.499999999796
021-090,FW 201926,5.0,,298.15
021-003,FW 201929,59439.0,,161588.44000000006
022-004,FW 202007,,,
021-018,FW 202044,9.0,,762.1000000000003
025-003,FW 201751,,,
021-007,FW 202028,595067.0,,2696517.5199999968
