C_Class_Nbr,C_Short_Week,C_Sales_Units,C_Str_OH_units_dly,C_sales
021-020,FW 202019,3185697.0,,29993726.100000083
022-004,FW 201825,1.0,,29.43
022-004,FW 201923,1.0,,122.38
021-090,FW 202016,6.0,,699.3800000000001
028-028,FW 201812,44.0,,2307.4900000000007
027-031,FW 201821,16363.0,,292534.73000000825
021-003,FW 201950,54228.0,,155468.59000000005
021-002,FW 201923,966.0,,13543.72
021-004,FW 201929,4800.0,,20904.77
021-015,FW 201907,85.0,,6036.599999999999
021-006,FW 201906,1429.0,,6204.519999999999
021-006,FW 202033,14734.0,,79675.67
021-015,FW 201912,79.0,,5778.86
021-015,FW 201934,78.0,,5873.869999999999
028-028,FW 202047,63.0,,3838.6400000000012
021-005,FW 201842,267831.25,,890973.04
022-010,FW 201918,111.0,,2958.96
022-009,FW 201808,7381.0,,42488.68999999999
025-001,FW 201935,,,
022-009,FW 202029,55334.0,,269531.9400000038
021-005,FW 202050,368373.86000000004,1902047.933,1397658.5599999991
021-003,FW 202102,61745.0,582314.0,316012.4600000012
021-020,FW 201844,1129244.3,,8310922.3699999945
021-001,FW 202009,133808.0,,1487473.9500000055
022-004,FW 202015,9.0,,9641.25
021-018,FW 201942,1.0,,106.17
028-026,FW 201913,336.0,,42247.789999999986
022-012,FW 201940,3654.0,,43959.070000000014
021-002,FW 202029,525.0,,9659.58
021-020,FW 201812,2000945.0,,16814091.100000013
021-017,FW 201936,-8.0,,20.0
021-017,FW 201928,348.0,,2084.1
021-003,FW 202037,74974.0,,353948.44000000006
021-015,FW 201811,98.0,,6231.45
022-012,FW 201831,5368.0,,55791.67000000007
021-018,FW 202042,74.0,,2601.52
022-012,FW 201917,3546.0,,38035.99999999998
021-090,FW 201841,1.0,,175.0
022-009,FW 201921,33800.0,,182661.8900000006
022-004,FW 201832,10.0,,8775.0
021-020,FW 202036,1766398.0,,23605151.740000084
021-015,FW 202011,86.0,,5972.33
028-028,FW 201916,28.0,,1241.7500000000002
022-009,FW 201813,5007.0,,35019.98999999999
022-004,FW 201816,-1.0,,-607.09
021-003,FW 201843,36759.0,,134834.68999999997
021-005,FW 201806,265874.15,,815807.35
022-012,FW 202025,3296.0,,38870.96999999998
027-031,FW 202102,,2.0,
021-020,FW 201913,2140731.05,,17240206.710000023
021-003,FW 201941,58133.0,,168595.56999999992
022-012,FW 201837,4193.0,,45926.66999999997
021-015,FW 201941,101.0,,6866.009999999999
025-001,FW 201927,,,
021-001,FW 201839,117416.0,,1411216.8599999968
021-001,FW 201917,122485.0,,1415951.3599999996
021-017,FW 201806,,,
021-018,FW 201841,-4.0,,-1417.4
021-001,FW 201834,114169.0,,1382510.7099999962
021-018,FW 202033,350.0,,33182.66
021-013,FW 201752,57.0,,276.38
021-007,FW 201818,696993.0,,3054301.2900000033
021-003,FW 201817,32504.0,,467661.45
021-005,FW 201828,256751.97999999998,,781936.9899999995
022-010,FW 202005,96.0,,2904.2000000000007
021-015,FW 201910,81.0,,5601.9400000000005
021-005,FW 201925,271454.45999999996,,789212.2999999996
022-012,FW 201829,3919.0,,41109.13
021-003,FW 202016,112942.0,,321869.2999999999
021-006,FW 201934,910.0,,5710.640000000001
021-018,FW 202006,331.0,,32054.7
021-015,FW 202004,67.0,,4781.65
028-023,FW 201843,845.0,,16092.419999999895
021-003,FW 201823,27019.0,,223672.19000000015
021-020,FW 201919,2126915.0,,16613807.950000029
028-026,FW 201916,2815.0,,279464.0400000003
025-001,FW 201920,-1.0,,-74.99
021-020,FW 201830,1681066.0,,14776394.470000004
021-002,FW 201842,1241.0,,18634.140000000003
022-004,FW 201925,3.0,,572.38
021-004,FW 202051,5917.0,62111.0,41536.840000000026
021-013,FW 201840,,,
021-008,FW 202021,1228827.4,,4752063.5600000005
021-015,FW 201842,136.0,,8706.35
022-009,FW 201917,7059.0,,52488.459999999985
022-004,FW 201849,,,
021-015,FW 202049,45.0,,3392.669999999999
021-008,FW 201903,626271.0,,1912124.87
028-023,FW 201822,2470.0,,48312.929999999724
021-006,FW 201835,6107.0,,19011.090000000004
025-001,FW 201942,,,
028-028,FW 201915,57.0,,4126.089999999998
021-090,FW 202028,2.0,,57.750000000000014
021-003,FW 202031,75025.0,,352020.27999999997
021-003,FW 202007,76771.0,,210225.65999999995
021-003,FW 201947,47115.0,,122139.74
021-008,FW 202046,747316.0,,2347856.8799999994
022-009,FW 202003,47955.0,,239524.97000000282
021-017,FW 201919,1.0,,231.67
027-031,FW 201806,18650.0,,328013.82000001014
021-008,FW 201939,670671.0,,2351994.2499999995
028-028,FW 201919,17.0,,968.45
021-002,FW 202026,1236.0,,15575.85
021-005,FW 201837,281055.29000000004,,853626.2199999997
021-013,FW 201801,32.0,,124.34000000000002
021-013,FW 201905,,,
021-090,FW 201835,1.0,,135.5
021-002,FW 202101,1281.0,18436.0,28311.210000000003
021-090,FW 202026,-46.0,,-2902.44
021-004,FW 201850,3424.0,,10223.169999999998
028-023,FW 201914,5615.0,,96676.42000000188
022-004,FW 202039,1.0,,1250.35
021-001,FW 202001,121689.0,,1319059.7899999993
021-013,FW 201802,30.0,,171.01
022-010,FW 201837,235.0,,6209.939999999999
021-015,FW 201806,170.0,,10127.92
021-007,FW 201808,339527.7,,1456459.1700000004
022-012,FW 201813,5108.0,,54239.66000000002
021-015,FW 201927,96.0,,6836.13
021-007,FW 202043,324923.0,,1498442.949999999
021-002,FW 201826,1130.0,,17774.41
021-002,FW 201945,667.0,,7911.100000000001
027-031,FW 202022,,,
022-010,FW 201937,91.0,,1960.66
025-001,FW 201909,4.0,,338.41
021-005,FW 201815,271281.64,,763168.8399999993
021-018,FW 202017,2532.0,,244624.31000000003
021-090,FW 201817,-274.0,,-252.45000000000005
021-008,FW 201922,979511.0,,3321935.03
022-004,FW 201817,23.0,,20202.06
022-012,FW 202035,3521.0,,42742.04000000005
022-004,FW 201823,2.0,,450.0
021-008,FW 201809,1018793.0,,3435110.5100000002
021-002,FW 201844,369.0,,8759.04
022-012,FW 201843,3572.0,,37176.47
022-009,FW 201936,50461.0,,259685.1200000033
025-001,FW 201926,,,
021-001,FW 202004,128408.0,,1400601.130000002
021-001,FW 202007,143134.0,,1574488.1000000057
021-017,FW 202002,268.0,,1085.8400000000001
021-013,FW 201916,,,
025-001,FW 201831,12.0,,899.88
022-009,FW 201832,5556.0,,33976.08999999999
028-026,FW 201924,1231.0,,116684.30000000013
021-017,FW 201950,88.0,,425.04
022-012,FW 202021,3581.0,,41092.11000000009
022-009,FW 202041,61172.0,,306476.16000000056
022-004,FW 202051,9.0,427.0,9641.25
021-090,FW 202031,-1.0,,-75.0
022-010,FW 202036,143.0,,3564.65
025-001,FW 201918,,,
022-012,FW 202009,667.0,,11234.269999999995
025-001,FW 201804,10.0,,749.9
025-001,FW 201829,12.0,,899.88
021-090,FW 201916,2.0,,145.0
021-017,FW 201930,414.0,,2787.2799999999997
022-012,FW 202007,695.0,,13830.109999999999
021-020,FW 202032,1800217.0,,23489601.40000008
021-003,FW 201801,20982.0,,153476.37
025-001,FW 201913,-1.0,,-82.68
022-004,FW 201952,9.0,,9641.25
021-018,FW 201910,,,
022-009,FW 201913,2602.0,,25308.360000000004
021-003,FW 201846,39448.0,,133498.84999999998
022-010,FW 201802,84.0,,1843.5
022-010,FW 201814,157.0,,3992.37
021-090,FW 201921,4.0,,317.56
021-020,FW 201750,928914.0,,7120191.159999998
021-005,FW 202048,318387.23,,1160493.8300000008
025-001,FW 201749,6.0,,449.94
021-018,FW 201819,7.0,,2611.0
021-015,FW 202045,88.0,,6456.31
021-008,FW 201805,938103.0,,3015175.0300000007
021-004,FW 202006,4758.0,,28505.119999999995
022-004,FW 201843,0.0,,0.0
021-008,FW 201911,1133308.0,,4056202.039999998
021-001,FW 201844,120701.0,,1449297.979999996
021-018,FW 201833,1.0,,18.82
021-020,FW 202030,1943146.56,,24122484.860000074
021-090,FW 201832,-1.0,,299.11
021-018,FW 202034,286.0,,27318.979999999992
025-001,FW 201908,7.0,,570.49
021-008,FW 202048,688719.0,,2216883.69
022-012,FW 201944,3421.0,,41296.520000000026
028-023,FW 201801,321.0,,8751.459999999995
021-090,FW 202019,7.0,,758.0
021-007,FW 202011,674194.0,,3080356.5699999975
021-015,FW 201805,76.0,,4488.96
028-026,FW 202046,,,
022-012,FW 201920,3535.0,,37884.40999999998
022-012,FW 201943,2955.0,,35235.91999999995
021-013,FW 201923,,,
025-003,FW 201809,,,
027-031,FW 201926,-2.0,,-0.02
021-004,FW 202023,7179.0,,35936.98
021-090,FW 202029,2.0,,175.0
021-008,FW 201914,885654.0,,3350117.5600000005
021-008,FW 202013,1868792.0,,6896088.63
021-001,FW 201750,109798.6,,1284522.059999998
022-012,FW 202027,3739.0,,45112.53000000004
021-006,FW 201805,1252.0,,7344.299999999998
021-017,FW 201939,-30.0,,-182.1
022-009,FW 201916,5957.0,,53132.81000000003
021-004,FW 201832,4385.0,,12403.02
021-018,FW 201809,,,
021-090,FW 201951,,,
021-001,FW 201922,123872.0,,1416873.67
021-006,FW 201942,1567.0,,9646.710000000001
022-009,FW 202026,63470.0,,318633.62999999995
022-004,FW 201915,0.0,,0.0
021-018,FW 201825,,,
021-090,FW 202013,33.0,,2920.74
021-017,FW 201809,4.0,,4.8
021-001,FW 201833,116109.0,,1410981.3999999953
021-018,FW 202011,1200.0,,116916.76000000001
021-015,FW 201921,67.0,,4718.160000000001
021-006,FW 201808,1195.0,,6977.4
022-004,FW 202002,,,
021-002,FW 201942,486.0,,8964.83
025-001,FW 201903,3.0,,248.04000000000002
021-008,FW 201830,723142.0,,2639023.36
021-003,FW 201927,56588.0,,160532.36
022-010,FW 201934,122.0,,3730.52
021-013,FW 201919,,,
021-004,FW 202103,1439.0,65646.0,9037.570000000003
021-005,FW 201750,250665.3,,731379.0499999997
025-001,FW 201929,,,
022-014,FW 201936,,,
028-023,FW 201807,847.0,,17075.049999999916
022-012,FW 201752,5800.0,,59139.11000000005
027-031,FW 201914,-11.0,,-220.67999999999998
021-007,FW 202049,269365.0,,1344432.4200000244
021-007,FW 202021,889685.5,,3842881.6699999995
025-001,FW 202010,,,
021-001,FW 201836,116803.0,,1413874.059999997
025-001,FW 201824,16.0,,1199.84
021-005,FW 201808,261756.61000000002,,805495.2499999997
022-004,FW 202008,6.0,,6427.5
028-026,FW 201949,29.0,,1075.2
021-001,FW 202016,208641.0,,2336690.910000007
021-004,FW 201835,3912.0,,11414.69
021-002,FW 202048,791.0,,14492.659999999998
021-015,FW 201924,141.0,,9768.849999999999
021-090,FW 202020,8.0,,327.5
021-007,FW 202036,522196.0,,2479339.349999997
021-005,FW 202042,378308.94,,1264269.36
021-004,FW 201935,5309.0,,26234.87
028-023,FW 202030,14370.0,,125512.38999999888
021-008,FW 202028,931931.0,,3458786.0600000005
021-008,FW 201920,960429.0,,3514343.159999999
021-008,FW 201819,1013035.0,,3727296.369999998
021-003,FW 202019,96673.0,,291904.36
021-002,FW 201933,2138.0,,27940.059999999998
021-006,FW 201917,2301.0,,7918.310000000001
021-002,FW 202007,3093.0,,37438.049999999996
021-002,FW 201902,287.0,,4220.35
021-002,FW 201822,742.0,,12314.44
028-026,FW 201938,767.0,,29659.399999999987
021-004,FW 201801,3590.0,,11894.120000000003
021-004,FW 201806,4367.0,,15469.109999999997
022-009,FW 202006,22746.0,,107038.63000000018
021-020,FW 201917,2431793.0,,18872986.200000037
021-020,FW 202002,1092120.0,,7800192.749999996
022-004,FW 201848,8.0,,6877.5
022-004,FW 201922,-1.0,,-29.43
021-005,FW 202018,416610.20999999996,,1185391.420000002
021-006,FW 201849,6831.0,,16163.680000000004
028-005,FW 202015,,,
028-028,FW 201908,39.0,,3042.359999999999
028-028,FW 201948,13.0,,888.21
027-031,FW 202004,-1.0,,-14.97
021-001,FW 201809,107375.0,,1287662.609999997
027-031,FW 202013,,,
021-006,FW 201939,1161.0,,6644.86
028-026,FW 202006,13.0,,457.83
027-031,FW 201946,,,
027-031,FW 201809,17785.0,,318816.80000000977
021-005,FW 201826,255711.41,,791941.5499999997
021-007,FW 201750,189407.3,,756998.4199999995
021-004,FW 201818,6191.0,,16677.040000000005
022-010,FW 201846,151.0,,3605.23
021-006,FW 201839,9804.0,,22962.070000000007
028-028,FW 201844,19.0,,1008.5399999999998
021-005,FW 201849,211916.34000000003,,669736.0700000001
022-004,FW 201818,1.0,,29.43
021-015,FW 201916,95.0,,6733.91
028-023,FW 201814,1861.0,,37396.35999999985
021-013,FW 201921,,,
022-004,FW 201937,15.0,,16050.0
028-028,FW 202037,181.0,,14119.42000000001
021-007,FW 201909,526602.28,,2284867.739999998
021-008,FW 201848,407218.0,,1210056.4500000002
022-014,FW 201914,,,
021-001,FW 202027,185587.0,,2103733.920000004
021-004,FW 201833,4356.0,,12067.3
027-031,FW 202032,,,
022-010,FW 202026,213.0,,5974.219999999999
021-015,FW 201944,54.0,,3782.6800000000003
021-090,FW 202051,,10288.0,
022-010,FW 201824,405.0,,10217.249999999998
022-009,FW 201920,12084.0,,68702.38
021-008,FW 202024,984603.0,,3796894.03
021-017,FW 201951,28.0,,30.600000000000023
021-004,FW 201947,2109.0,,13706.98
022-012,FW 201906,4413.0,,46756.40999999998
021-006,FW 201804,1025.0,,5968.8099999999995
021-018,FW 201845,1.0,,109.45
021-002,FW 201925,1218.0,,14642.890000000001
021-006,FW 202047,4819.0,,23348.649999999998
021-090,FW 202048,-1.0,,-150.0
022-004,FW 201945,9.0,,9641.25
021-001,FW 201931,122298.0,,1332023.4399999995
021-003,FW 201930,60980.0,,169061.73000000004
021-090,FW 201808,2.0,,90.02
022-010,FW 202043,178.0,,4420.680000000001
022-009,FW 201825,6903.0,,43364.45999999999
022-004,FW 202013,,,
021-003,FW 201945,50930.0,,150545.12000000005
021-013,FW 201827,-3.0,,-26.44
028-026,FW 202037,12.0,,396.0
021-005,FW 202034,401671.52,,1341792.5199999993
021-015,FW 201952,99.0,,7061.670000000001
021-001,FW 201802,107565.0,,1286457.4299999974
022-009,FW 201905,8531.0,,67638.39999999997
028-028,FW 201952,23.0,,1836.78
027-031,FW 201909,-27.0,,-328.88000000000005
021-008,FW 201823,874696.0,,3043910.0199999986
022-010,FW 201908,177.0,,5504.74
028-028,FW 202048,116.0,,6881.9499999999925
021-018,FW 202039,104.0,,7077.23
021-005,FW 202041,389487.16000000003,,1298516.1699999988
021-018,FW 202035,204.0,,19099.229999999996
022-012,FW 201929,4492.0,,50805.340000000004
021-001,FW 202101,155048.0,713018.5,2086559.4199997704
021-006,FW 202052,3832.0,12053.0,21781.15
021-090,FW 202103,,10288.0,
021-090,FW 202032,5.0,,362.51
022-009,FW 201804,2292.0,,13641.52
021-020,FW 201847,1032506.0,,7594166.699999997
021-090,FW 201927,6.0,,172.37
021-008,FW 201902,644760.0,,1884630.4100000001
021-005,FW 202022,386261.95,,1142124.9300000023
028-023,FW 201918,11045.0,,116123.95999999576
021-001,FW 201850,114076.0,,1357656.309999996
021-005,FW 201823,253762.67999999996,,794400.7900000003
021-017,FW 201952,0.0,,0.0
021-004,FW 201834,4387.0,,12432.769999999999
022-012,FW 201936,4277.0,,48075.60000000005
021-007,FW 201824,683675.0,,2705897.3900000006
021-013,FW 201917,,,
021-020,FW 202048,1070574.0,,11077730.290000018
021-015,FW 201948,72.0,,5110.6900000000005
021-001,FW 202033,165303.0,,2191589.320000005
022-010,FW 201939,197.0,,4814.600000000001
022-010,FW 201914,83.0,,2561.66
021-015,FW 201815,310.0,,19035.5
028-009,FW 202018,7.0,,314.86
021-003,FW 201914,52788.0,,155885.5200000001
022-010,FW 201826,295.0,,7531.99
022-012,FW 202044,3249.0,,38820.319999999956
027-031,FW 202049,,,
022-009,FW 201837,6503.0,,40913.95999999999
028-028,FW 201947,4.0,,199.22000000000006
021-001,FW 202038,163467.0,,2131080.510000008
021-002,FW 201806,382.0,,3410.09
028-009,FW 202036,4.0,,182.96
021-001,FW 201822,118554.2,,1467093.6599999953
021-003,FW 202021,93548.0,,288903.63999999984
022-010,FW 202032,173.0,,4539.51
021-020,FW 201824,1904030.0,,18271612.590000033
021-005,FW 201805,254472.47999999998,,793958.5299999998
021-020,FW 202052,1179219.0,7058700.97,14665312.529999472
027-031,FW 202052,,2.0,
021-001,FW 201901,110477.0,,1311041.8399999966
022-010,FW 201948,83.0,,2564.7500000000005
028-028,FW 201821,73.0,,3637.59
021-090,FW 201850,2.0,,105.95999999999998
021-090,FW 201829,4.0,,404.02
021-005,FW 201843,213079.02,,697576.2900000002
027-031,FW 202010,,,
027-031,FW 201921,-6.0,,-94.88999999999999
021-004,FW 202043,5538.0,,30736.649999999994
022-009,FW 202007,34913.0,,181489.72000000067
021-001,FW 201912,119986.0,,1402382.1499999966
021-002,FW 201811,1001.0,,12772.71
021-018,FW 201934,,,
021-090,FW 201823,3.0,,320.52
021-015,FW 201901,91.0,,6491.889999999999
028-023,FW 201930,8225.0,,62492.51000000186
021-007,FW 201853,215789.0,,875521.4499999994
021-090,FW 202047,3.0,,345.7
021-008,FW 201913,1074566.0,,3786471.4900000026
021-008,FW 201807,1069235.0,,3397655.7099999986
021-002,FW 201946,1301.0,,10664.529999999997
022-012,FW 201931,3079.0,,35386.01999999999
025-003,FW 201752,,,
021-003,FW 202004,64094.0,,200603.82999999993
021-005,FW 201847,237258.52000000002,,740311.589999999
021-015,FW 202027,36.0,,2416.6899999999996
021-008,FW 201928,777828.0,,2716266.55
021-002,FW 201951,946.0,,8953.82
022-012,FW 202031,3395.0,,41168.920000000006
022-010,FW 201916,141.0,,4755.01
021-015,FW 201949,70.0,,4825.820000000001
028-026,FW 201942,107.0,,2976.05
021-020,FW 201932,1749506.0,,13339370.46000001
021-002,FW 201814,357.0,,6038.09
021-002,FW 201939,620.0,,7092.299999999998
022-004,FW 201837,,,
021-001,FW 201805,115898.0,,1402889.6799999967
021-005,FW 201921,278446.74,,852473.4999999999
022-010,FW 201933,105.0,,2805.870000000001
022-014,FW 201913,,,
028-028,FW 201950,7.0,,551.85
021-001,FW 201811,113267.0,,1430767.509999998
021-003,FW 201903,45558.0,,152549.74999999985
021-005,FW 201839,268885.63,,837018.8699999996
021-002,FW 201940,1730.0,,23233.010000000002
021-013,FW 201914,,,
021-006,FW 202037,38993.0,,173204.24999999997
021-004,FW 201943,2726.0,,18005.25
021-005,FW 202023,386340.38999999996,,1189767.6900000018
025-001,FW 201933,,,
021-018,FW 202102,48.0,1681.0,5449.06
021-005,FW 201931,252538.11000000002,,805312.3899999994
021-015,FW 201909,54.0,,3941.2199999999993
021-020,FW 202023,2297549.7199999997,,22804667.380000055
021-018,FW 202025,894.0,,85212.41000000005
021-001,FW 202002,122398.0,,1323137.8200000029
021-002,FW 201841,440.0,,6472.729999999998
022-012,FW 201749,4213.0,,41674.98000000003
021-015,FW 201847,90.0,,6597.68
021-007,FW 201916,776595.5,,3304762.5300000017
022-009,FW 202017,71371.0,,361184.4700000005
022-009,FW 201928,48381.0,,231842.31000000334
028-026,FW 202044,,,
021-005,FW 202005,307514.56,,938322.5400000021
021-007,FW 201952,279411.3,,1105527.4499999993
021-017,FW 201941,0.0,,0.0
025-001,FW 201802,11.0,,824.89
021-002,FW 202028,4014.0,,33923.73
022-004,FW 201943,,,
021-090,FW 201818,1.0,,210.0
028-028,FW 202046,202.0,,14035.520000000004
021-090,FW 201905,3.0,,375.0
021-007,FW 201807,338977.0,,1441454.4000000004
021-006,FW 202032,13062.0,,68323.59
021-002,FW 202025,1118.0,,17744.97
022-010,FW 202002,102.0,,3441.84
022-012,FW 202102,3755.0,15830.0,45533.149999999994
025-003,FW 201813,,,
021-001,FW 202043,158228.0,,2037927.0500000136
028-026,FW 202001,13.0,,508.95
021-090,FW 201828,-3.0,,-274.24
021-003,FW 201939,54315.0,,154979.88000000006
028-023,FW 201820,2322.0,,43997.69999999981
021-020,FW 201823,1859214.75,,17637719.750000037
021-008,FW 201852,677174.0,,1884774.5300000003
022-009,FW 201942,43118.0,,218426.82000000268
022-012,FW 201947,1828.0,,21735.629999999983
022-010,FW 202028,190.0,,6266.33
022-010,FW 202046,205.0,,6265.919999999996
021-015,FW 201932,165.0,,11616.419999999998
021-006,FW 202040,35620.0,,153516.33
021-007,FW 201816,656362.0,,2711319.6600000025
021-001,FW 202012,176485.41999999998,,1975612.030000006
021-006,FW 201920,1562.0,,6871.660000000002
021-015,FW 202026,83.0,,6011.3099999999995
021-006,FW 201852,6887.0,,16606.78
025-003,FW 202029,2.0,,5.64
025-001,FW 201813,19.0,,1424.81
022-009,FW 201851,5819.0,,42636.93
021-018,FW 201824,12.0,,4215.84
021-006,FW 201750,1956.0,,9931.97
028-028,FW 202010,45.0,,3070.5199999999995
022-010,FW 202030,258.0,,8184.220000000002
027-031,FW 201837,2579.0,,13855.520000000026
021-007,FW 201836,459706.0,,1894225.4499999997
022-012,FW 202039,4150.0,,47963.35000000003
021-006,FW 201944,1156.0,,5793.330000000001
021-090,FW 201902,0.0,,140.0
021-001,FW 201920,121752.0,,1420548.7400000002
021-003,FW 201844,42118.0,,145713.27000000002
021-015,FW 201750,71.0,,4205.92
021-018,FW 201838,,,
021-015,FW 201752,68.0,,4070.56
021-007,FW 202022,797116.0,,3540718.94
021-006,FW 202009,204.0,,987.9499999999998
021-018,FW 201935,1.0,,106.17
022-010,FW 201927,63.0,,1898.4999999999998
021-006,FW 201831,909.0,,4923.93
021-006,FW 202046,6063.0,,26572.970000000016
021-008,FW 202043,707050.0,,2458176.6399999987
021-005,FW 201811,279931.33999999997,,844637.6099999996
021-017,FW 201943,80.0,,587.4000000000001
022-014,FW 201943,,,
021-002,FW 202049,532.0,,12037.48
021-005,FW 202017,439781.14,,1250001.3900000015
021-001,FW 201908,118910.0,,1384030.8299999987
021-015,FW 202001,79.0,,5713.029999999999
021-002,FW 201817,712.0,,10694.64
027-031,FW 201912,-11.0,,-180.10999999999999
021-002,FW 201829,292.0,,4074.2500000000005
021-017,FW 201935,118.0,,1169.1799999999998
022-010,FW 202018,196.0,,5268.16
022-010,FW 202031,163.0,,4699.200000000001
028-028,FW 202034,230.0,,17387.649999999994
021-008,FW 201910,1136988.0,,3973753.320000002
021-008,FW 201933,693952.0,,2701033.2200000007
028-028,FW 201852,24.0,,1310.2499999999998
021-003,FW 201949,53307.0,,147259.93000000008
022-010,FW 201752,47.0,,551.6600000000001
028-026,FW 201925,817.0,,76919.14999999998
021-001,FW 201910,115966.0,,1353145.4399999976
021-002,FW 202047,384.0,,6345.0599999999995
021-013,FW 201823,,,
021-004,FW 201919,5735.0,,16850.280000000002
021-017,FW 201940,-52.0,,-97.75999999999999
021-006,FW 201807,1291.0,,7560.37
028-028,FW 202036,170.0,,12721.849999999973
021-017,FW 202047,451.0,,3225.67
021-006,FW 201911,838.0,,4323.45
022-004,FW 202016,,,
021-007,FW 201947,201851.66,,774302.7499999998
021-002,FW 201831,866.0,,15354.02
022-009,FW 201831,3731.0,,22783.309999999998
021-015,FW 201812,102.0,,6470.76
021-015,FW 202022,89.0,,6504.47
021-008,FW 201814,1123494.0,,4326389.5200000005
021-002,FW 201948,953.0,,13401.260000000002
027-031,FW 201827,4179.0,,77345.82999999949
021-090,FW 201934,-1.0,,349.96
021-002,FW 201804,162.0,,3796.8700000000003
021-017,FW 201927,160.0,,595.04
022-009,FW 201951,43616.0,,223726.7300000025
021-020,FW 202045,1473251.0,,13477598.220000014
028-026,FW 201947,21.0,,603.15
027-031,FW 201918,-7.0,,-88.77
028-028,FW 201805,20.0,,1210.1
027-031,FW 201835,628.0,,8190.22999999998
022-009,FW 202048,37758.0,,176309.80000000208
022-009,FW 202010,18364.0,,91929.07999999996
021-013,FW 201811,-3.0,,-25.96
021-001,FW 201824,115513.0,,1441931.1099999975
021-005,FW 201830,267049.95999999996,,825587.3900000005
021-002,FW 202004,259.0,,4009.6299999999997
021-002,FW 201807,472.0,,4806.02
021-004,FW 202017,6940.0,,34935.490000000005
021-017,FW 202011,76.0,,310.0
021-003,FW 201920,55458.0,,170621.43999999994
021-002,FW 201820,1160.0,,17703.82
022-012,FW 202024,3826.0,,45103.95000000003
022-009,FW 202015,68129.0,,326703.7700000013
021-006,FW 201837,7885.0,,22059.76
021-013,FW 201835,,,
021-018,FW 202101,24.0,742.0,2708.28
021-020,FW 202009,2325669.0,,17538624.880000036
025-001,FW 201822,14.0,,1049.86
021-001,FW 202024,186673.0,,2112567.6100000055
021-004,FW 201923,5207.0,,15847.759999999998
021-004,FW 201808,4368.0,,12879.59
022-012,FW 201802,3294.0,,37017.92999999997
021-015,FW 201917,120.0,,8548.32
021-002,FW 202027,273.0,,5824.669999999999
021-004,FW 202029,6563.0,,35782.48
022-009,FW 201852,8830.0,,61790.359999999986
021-015,FW 201826,150.0,,9441.32
021-002,FW 202030,1074.0,,23416.44
022-004,FW 201940,,,
028-028,FW 201836,24.0,,2097.0
021-018,FW 201905,2.0,,212.34
021-008,FW 201944,653552.0,,1920021.0499999993
021-017,FW 201934,340.0,,3673.3600000000006
021-003,FW 201935,56024.0,,165359.2299999999
021-017,FW 202048,84.0,,579.1599999999999
021-017,FW 202005,96.0,,474.24
027-031,FW 201943,,,
022-012,FW 201939,3864.0,,45645.549999999974
022-009,FW 201749,1180.0,,8356.11
021-015,FW 202021,72.0,,5018.199999999999
022-009,FW 202001,44262.0,,221526.56000000282
025-001,FW 202009,,,
022-009,FW 201801,3779.0,,17484.179999999997
021-015,FW 201848,64.0,,4510.72
028-028,FW 201841,27.0,,1888.5800000000013
021-002,FW 201915,135.0,,3733.8599999999997
021-006,FW 201810,1209.0,,7342.460000000003
022-004,FW 201948,,,
022-012,FW 201949,1945.0,,25243.95999999998
025-001,FW 201752,6.0,,449.94
021-006,FW 202101,3713.0,12980.0,22843.02000000001
027-031,FW 201904,-27.0,,-482.71999999999997
021-090,FW 201852,2.0,,100.00999999999999
028-023,FW 201907,3793.0,,65155.020000000295
021-090,FW 201803,3.0,,389.0
021-020,FW 202010,2555842.0,,19420635.250000045
021-020,FW 202049,1241900.0,,14091814.349999301
022-004,FW 201917,,,
021-020,FW 201804,1153453.0,,9174313.600000003
021-004,FW 202038,7670.0,,38835.35
021-018,FW 201821,3.0,,1119.0
022-012,FW 201810,5436.0,,55631.36000000006
028-028,FW 201811,49.0,,3164.4000000000005
021-008,FW 201948,543249.3,,1608306.900000001
022-012,FW 201847,4002.0,,45661.470000000016
022-010,FW 201906,203.0,,5942.990000000001
021-018,FW 201950,1.0,,98.97
021-018,FW 201801,4.0,,762.41
021-002,FW 201828,1258.0,,16771.67
021-013,FW 201935,,,
022-009,FW 201932,50891.0,,264197.540000003
021-017,FW 201817,1.0,,224.34
021-004,FW 201837,4031.0,,11764.89
028-028,FW 201918,29.0,,1548.0400000000004
021-018,FW 202003,,,
021-018,FW 201828,,,
021-090,FW 202005,2.0,,132.67000000000002
021-005,FW 201814,276310.26,,852238.5899999996
025-001,FW 201819,28.0,,2099.72
022-012,FW 201907,4281.0,,44672.119999999995
028-026,FW 202022,20.0,,637.0
022-009,FW 201914,4118.0,,37134.590000000004
028-023,FW 201921,11469.0,,106543.3499999968
025-001,FW 201807,11.0,,824.89
021-018,FW 201929,,,
021-008,FW 201829,674445.0,,2502389.7300000004
028-023,FW 201936,7967.0,,55362.53000000074
027-031,FW 201751,16113.0,,286810.85000000795
021-017,FW 201807,4.0,,800.0
025-001,FW 202020,,,
028-028,FW 201840,11.0,,902.8800000000002
021-002,FW 201805,140.0,,4967.700000000001
021-018,FW 202030,823.0,,78996.02000000002
021-002,FW 202050,1415.0,19408.0,24432.850000000002
021-007,FW 202101,243329.0,3450919.52,1299345.5500000368
021-018,FW 201944,,,
028-023,FW 201809,1282.0,,25876.38999999983
028-023,FW 201817,2333.0,,46210.469999999856
