Class,Manuf_Part_Number_Plus,SKU_Nbr,Short_Week,SKU,Sales_Units,Sales_Dollars
021-008-FENCING,141568,249148,FW 201938,249148-6'X8' DOVER PRIVACY PANEL,687,50232.969999999994
021-008-FENCING,141568,249148,FW 201930,249148-6'X8' DOVER PRIVACY PANEL,1241,95058.610000000015
021-008-FENCING,141568,249148,FW 201838,249148-6'X8' DOVER PRIVACY PANEL,268,20592.100000000002
021-008-FENCING,141568,249148,FW 201824,249148-6'X8' DOVER PRIVACY PANEL,587,44519.509999999995
021-008-FENCING,141568,249148,FW 201904,249148-6'X8' DOVER PRIVACY PANEL,72,5304.71
021-008-FENCING,141568,249148,FW 201949,249148-6'X8' DOVER PRIVACY PANEL,210,16154.779999999999
021-008-FENCING,141568,249148,FW 201801,249148-6'X8' DOVER PRIVACY PANEL,62,4370.96
021-008-FENCING,141568,249148,FW 201820,249148-6'X8' DOVER PRIVACY PANEL,861,62956.520000000011
021-008-FENCING,141568,249148,FW 201850,249148-6'X8' DOVER PRIVACY PANEL,30,2192.7099999999996
021-008-FENCING,141568,249148,FW 202007,249148-6'X8' DOVER PRIVACY PANEL,990,75097.039999999979
021-008-FENCING,141568,249148,FW 201805,249148-6'X8' DOVER PRIVACY PANEL,174,12966.440000000002
021-008-FENCING,141568,249148,FW 201950,249148-6'X8' DOVER PRIVACY PANEL,147,11413.679999999998
021-008-FENCING,141568,249148,FW 202024,249148-6'X8' DOVER PRIVACY PANEL,1233,94396.849999999991
021-008-FENCING,141568,249148,FW 201812,249148-6'X8' DOVER PRIVACY PANEL,451,32946.900000000009
021-008-FENCING,141568,249148,FW 201813,249148-6'X8' DOVER PRIVACY PANEL,853,62363.19999999999
021-008-FENCING,141568,249148,FW 201827,249148-6'X8' DOVER PRIVACY PANEL,250,19161.399999999994
021-008-FENCING,141568,249148,FW 201928,249148-6'X8' DOVER PRIVACY PANEL,1586,120461.90999999997
021-008-FENCING,141568,249148,FW 202011,249148-6'X8' DOVER PRIVACY PANEL,2014,153813.08000000002
021-008-FENCING,141568,249148,FW 201829,249148-6'X8' DOVER PRIVACY PANEL,250,18549.82
021-008-FENCING,141568,249148,FW 201921,249148-6'X8' DOVER PRIVACY PANEL,1386,104958.92999999998
021-008-FENCING,141568,249148,FW 202025,249148-6'X8' DOVER PRIVACY PANEL,1273,98170.72
021-008-FENCING,141568,249148,FW 201902,249148-6'X8' DOVER PRIVACY PANEL,97,7150.92
