"SKU","SKU Nbr","Store","Store Nbr","Short Week","Sales Units","Sales $","Str OH Units Wkly"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1541-MONUMENT","1541","FW 202030","","","250"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1510-ACADEMY BLVD","1510","FW 202046","","","213"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1501-AURORA, CO","1501","FW 202030","","","266"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1503-THORNTON","1503","FW 202028","","","256"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1505-SANTA FE","1505","FW 202041","","","198"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1512-FT COLLINS","1512","FW 202040","5","$109.90","218"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1514-LAKEWOOD, CO","1514","FW 202029","","","250"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1501-AURORA, CO","1501","FW 202034","","","266"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1503-THORNTON","1503","FW 202039","8","$175.84","219"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1523-PIONEER HILLS","1523","FW 202022","","","263"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1503-THORNTON","1503","FW 202029","","","256"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1507-DENVER SW","1507","FW 202042","","","248"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1517-WESTMINSTER, CO","1517","FW 202029","","","261"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1522-GOLDEN","1522","FW 202040","","","256"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1544-N FT COLLINS","1544","FW 202029","6","$131.88","241"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1523-PIONEER HILLS","1523","FW 202046","","","475"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1514-LAKEWOOD, CO","1514","FW 202051","","","234"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1501-AURORA, CO","1501","FW 202024","","","264"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1505-SANTA FE","1505","FW 202042","","","198"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1511-PUEBLO","1511","FW 202026","","","264"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1516-PARKER","1516","FW 202035","5","$109.90","252"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1521-LONGMONT","1521","FW 202027","","","264"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1523-PIONEER HILLS","1523","FW 202021","","","0"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1546-BOULDER","1546","FW 202038","9","$182.43","240"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1551-NORTH AURORA","1551","FW 202022","","","0"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1503-THORNTON","1503","FW 202052","1","$21.98","182"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1504-COLORADO SPRINGS","1504","FW 202047","","","230"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1516-PARKER","1516","FW 202021","","","0"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1541-MONUMENT","1541","FW 202042","13","$285.74","191"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1541-MONUMENT","1541","FW 202024","","","255"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1551-NORTH AURORA","1551","FW 202034","","","264"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1547-BRIGHTON,CO","1547","FW 202101","","","196"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1526-GLENDALE,CO","1526","FW 202025","","","264"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1528-SADDLEROCK","1528","FW 202040","1","$21.98","213"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1538-NE COLORADO SPRINGS","1538","FW 202023","","","253"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1540-HIGHLANDS RANCH","1540","FW 202043","","","246"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1504-COLORADO SPRINGS","1504","FW 202047","3","$65.94","238"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1519-LITTLETON","1519","FW 202022","","","264"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1516-PARKER","1516","FW 202041","","","241"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1538-NE COLORADO SPRINGS","1538","FW 202042","","","138"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1546-BOULDER","1546","FW 202029","","","264"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1549-JEFFERSON COUNTY","1549","FW 202027","","","264"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1552-FIRESTONE","1552","FW 202051","","","264"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1510-ACADEMY BLVD","1510","FW 202038","","","264"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1512-FT COLLINS","1512","FW 202037","","","223"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1516-PARKER","1516","FW 202025","","","264"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1546-BOULDER","1546","FW 202031","","","258"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1547-BRIGHTON,CO","1547","FW 202101","","","205"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1507-DENVER SW","1507","FW 202046","3","$65.94","146"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1507-DENVER SW","1507","FW 202041","50","$1,079.00","248"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1511-PUEBLO","1511","FW 202028","","","264"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1550-LAKEWOOD-NORTH","1550","FW 202044","","","224"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1515-GREELEY","1515","FW 202049","","","199"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1510-ACADEMY BLVD","1510","FW 202047","1","$21.98","212"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1507-DENVER SW","1507","FW 202032","","","249"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1514-LAKEWOOD, CO","1514","FW 202045","3","$65.94","243"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1524-BROOMFIELD","1524","FW 202028","","","264"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1546-BOULDER","1546","FW 202039","3","$65.94","138"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1552-FIRESTONE","1552","FW 202033","","","264"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1552-FIRESTONE","1552","FW 202038","","","264"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1550-LAKEWOOD-NORTH","1550","FW 202024","","","264"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1517-WESTMINSTER, CO","1517","FW 202050","","","222"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1501-AURORA, CO","1501","FW 202046","","","220"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1540-HIGHLANDS RANCH","1540","FW 202024","1","$21.98","263"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1528-SADDLEROCK","1528","FW 202023","6","$129.68","254"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1551-NORTH AURORA","1551","FW 202044","","","264"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1538-NE COLORADO SPRINGS","1538","FW 202051","","","158"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1503-THORNTON","1503","FW 202048","","","231"
